iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
31,-0.345304,-0.415722,-0.346658,0.186439,0.117143,-0.010964,0.307137,-0.653331,153.728782
32,-0.345144,-0.417216,-0.346501,0.190273,0.119552,-0.011422,0.319536,-0.680395,153.805461
33,-0.345016,-0.418425,-0.346375,0.193362,0.121493,-0.011797,0.329685,-0.702594,153.867232
34,-0.344918,-0.419364,-0.346277,0.195752,0.122994,-0.012092,0.337638,-0.720015,153.915036
35,-0.344846,-0.420056,-0.346205,0.197508,0.124098,-0.012311,0.343536,-0.732949,153.950158
36,-0.344796,-0.420531,-0.346156,0.198710,0.124853,-0.012462,0.347599,-0.741867,153.974196
37,-0.344766,-0.420824,-0.346126,0.199451,0.125319,-0.012555,0.350115,-0.747393,153.989019
38,-0.344750,-0.420976,-0.346110,0.199836,0.125561,-0.012604,0.351427,-0.750274,153.996726
39,-0.344744,-0.421033,-0.346104,0.199979,0.125651,-0.012622,0.351914,-0.751346,153.999589
40,-0.344744,-0.421041,-0.346104,0.200000,0.125664,-0.012625,0.351984,-0.751500,154.000000
41,-0.344743,-0.421049,-0.346103,0.200021,0.125677,-0.012627,0.352054,-0.751653,154.000411
42,-0.344737,-0.421106,-0.346097,0.200164,0.125767,-0.012646,0.352543,-0.752726,154.003274
43,-0.344721,-0.421258,-0.346081,0.200549,0.126009,-0.012695,0.353858,-0.755617,154.010981
44,-0.344691,-0.421552,-0.346051,0.201290,0.126474,-0.012789,0.356395,-0.761194,154.025804
45,-0.344642,-0.422029,-0.346002,0.202492,0.127230,-0.012943,0.360525,-0.770280,154.049842
46,-0.344571,-0.422727,-0.345930,0.204248,0.128333,-0.013170,0.366598,-0.783651,154.084964
47,-0.344474,-0.423679,-0.345832,0.206638,0.129835,-0.013481,0.374937,-0.802033,154.132768
48,-0.344350,-0.424914,-0.345705,0.209727,0.131775,-0.013889,0.385835,-0.826099,154.194539
49,-0.344197,-0.426454,-0.345548,0.213561,0.134184,-0.014404,0.399557,-0.856461,154.271218
50,-0.344015,-0.428314,-0.345360,0.218169,0.137080,-0.015036,0.416327,-0.893671,154.363380
51,-0.343804,-0.430503,-0.345139,0.223561,0.140467,-0.015793,0.436333,-0.938201,154.471218
52,-0.343566,-0.433024,-0.344886,0.229727,0.144342,-0.016681,0.459709,-0.990434,154.594539
53,-0.343304,-0.435871,-0.344602,0.236638,0.148684,-0.017707,0.486532,-1.050639,154.732768
54,-0.343020,-0.439032,-0.344290,0.244248,0.153466,-0.018872,0.516811,-1.118951,154.884964
55,-0.342719,-0.442485,-0.343951,0.252492,0.158645,-0.020177,0.550475,-1.195342,155.049842
56,-0.342405,-0.446203,-0.343589,0.261290,0.164173,-0.021619,0.587364,-1.279603,155.225804
57,-0.342083,-0.450152,-0.343208,0.270549,0.169991,-0.023192,0.627228,-1.371316,155.410981
58,-0.341760,-0.454291,-0.342811,0.280164,0.176032,-0.024884,0.669719,-1.469843,155.603274
59,-0.341439,-0.458573,-0.342404,0.290021,0.182225,-0.026684,0.714397,-1.574322,155.800411
60,-0.341125,-0.462947,-0.341990,0.300000,0.188496,-0.028571,0.760736,-1.683668,156.000000
61,-0.340825,-0.467359,-0.341576,0.309979,0.194766,-0.030525,0.808140,-1.796590,156.199589
62,-0.340540,-0.471752,-0.341166,0.319836,0.200959,-0.032520,0.855957,-1.911623,156.396726
63,-0.340276,-0.476072,-0.340765,0.329451,0.207000,-0.034530,0.903507,-2.027166,156.589019
64,-0.340033,-0.480261,-0.340378,0.338710,0.212818,-0.036524,0.950099,-2.141535,156.774196
65,-0.339815,-0.484269,-0.340008,0.347508,0.218346,-0.038473,0.995061,-2.253024,156.950158
66,-0.339621,-0.488047,-0.339661,0.355752,0.223525,-0.040347,1.037766,-2.359965,157.115036
67,-0.339451,-0.491553,-0.339339,0.363362,0.228307,-0.042118,1.077652,-2.460798,157.267232
68,-0.339305,-0.494752,-0.339046,0.370273,0.232649,-0.043761,1.114242,-2.554134,157.405461
69,-0.339182,-0.497619,-0.338784,0.376439,0.236524,-0.045255,1.147162,-2.638809,157.528782
70,-0.339079,-0.500134,-0.338554,0.381831,0.239911,-0.046583,1.176151,-2.713936,157.636620
71,-0.338996,-0.502291,-0.338357,0.386439,0.242807,-0.047733,1.201068,-2.778941,157.728782
72,-0.338929,-0.504090,-0.338193,0.390273,0.245216,-0.048702,1.221895,-2.833585,157.805461
73,-0.338878,-0.505541,-0.338060,0.393362,0.247156,-0.049490,1.238732,-2.877974,157.867232
74,-0.338839,-0.506667,-0.337957,0.395752,0.248658,-0.050104,1.251797,-2.912552,157.915036
75,-0.338811,-0.507495,-0.337881,0.397508,0.249762,-0.050558,1.261416,-2.938082,157.950158
76,-0.338792,-0.508062,-0.337829,0.398710,0.250517,-0.050869,1.268008,-2.955616,157.974196
77,-0.338781,-0.508411,-0.337798,0.399451,0.250982,-0.051062,1.272077,-2.966454,157.989019
78,-0.338775,-0.508593,-0.337781,0.399836,0.251225,-0.051163,1.274194,-2.972096,157.996726
79,-0.338773,-0.508661,-0.337775,0.399979,0.251315,-0.051200,1.274980,-2.974193,157.999589
80,-0.338772,-0.508671,-0.337774,0.400000,0.251327,-0.051205,1.275093,-2.974494,158.000000
81,-0.338772,-0.508680,-0.337773,0.400021,0.251340,-0.051211,1.275206,-2.974795,158.000411
82,-0.338770,-0.508748,-0.337767,0.400164,0.251430,-0.051248,1.275992,-2.976893,158.003274
83,-0.338764,-0.508930,-0.337750,0.400549,0.251672,-0.051349,1.278110,-2.982544,158.010981
84,-0.338753,-0.509280,-0.337718,0.401290,0.252138,-0.051542,1.282186,-2.993429,158.025804
